Gene.name	Karyotype.band	Strand	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Gene.type	Gene.description
RNU6-228P	p12.1	Plus	chr20	14352320	14352425	Non-protein coding RNA	R U6 Small Nuclear 228, Pseudogene
RNU6-229P	q11.22	Minus	chr7	69401202	69401303	Non-protein coding RNA	R U6 Small Nuclear 229, Pseudogene
RNU6-22P	q22.1	Minus	chr16	69175671	69175777	Non-protein coding RNA	R U6 Small Nuclear 22, Pseudogene
RNU6-230P	q21.2	Minus	chr3	125119097	125119200	Non-protein coding RNA	R U6 Small Nuclear 230, Pseudogene
RNU6-231P	q25.3	Plus	chr15	85821855	85821957	Non-protein coding RNA	R U6 Small Nuclear 231, Pseudogene
RNU6-232P	q21.2	Plus	chr3	125388934	125388997	Non-protein coding RNA	R U6 Small Nuclear 232, Pseudogene
RNU6-233P	q12	Minus	chr17	39546104	39546244	Non-protein coding RNA	R U6 Small Nuclear 233, Pseudogene
RNU6-234P	q37.3	Plus	chr2	238412642	238412745	Non-protein coding RNA	R U6 Small Nuclear 234, Pseudogene
RNU6-235P	p22.2	Minus	chr3	38303773	38303879	Non-protein coding RNA	R U6 Small Nuclear 235, Pseudogene
RNU6-236P	q31.2	Minus	chr5	139717985	139718090	Non-protein coding RNA	R U6 Small Nuclear 236, Pseudogene
RNU6-237P	q23.1	Plus	chr16	74456541	74456611	Non-protein coding RNA	R U6 Small Nuclear 237, Pseudogene
RNU6-238P	q13.12	Plus	chr12	50656973	50657078	Non-protein coding RNA	R U6 Small Nuclear 238, Pseudogene
RNU6-239P	q21.3	Plus	chr1	154295503	154295601	Non-protein coding RNA	R U6 Small Nuclear 239, Pseudogene
RNU6-23P	q22.1	Minus	chr16	70445293	70445399	Non-protein coding RNA	R U6 Small Nuclear 23, Pseudogene
RNU6-240P	q24.3	Minus	chr14	73659564	73659660	Non-protein coding RNA	R U6 Small Nuclear 240, Pseudogene
RNU6-241P	p12.3	Plus	chr7	45789585	45789688	Non-protein coding RNA	R U6 Small Nuclear 241, Pseudogene
RNU6-242P	p21	Minus	chr2	43091388	43091494	Non-protein coding RNA	R U6 Small Nuclear 242, Pseudogene
RNU6-243P	p22.3	Minus	chr3	35256840	35256946	Non-protein coding RNA	R U6 Small Nuclear 243, Pseudogene
RNU6-244P	q32.31	Plus	chr14	102501676	102501779	Non-protein coding RNA	R U6 Small Nuclear 244, Pseudogene
RNU6-245P	q13.1	Minus	chrX	68539443	68539549	Non-protein coding RNA	R U6 Small Nuclear 245, Pseudogene
RNU6-246P	p22.3	Plus	chr9	15544188	15544294	Non-protein coding RNA	R U6 Small Nuclear 246, Pseudogene
RNU6-247P	q22	Minus	chr12	95792529	95792635	Non-protein coding RNA	R U6 Small Nuclear 247, Pseudogene
RNU6-248P	q14.1	Plus	chr6	76092834	76092940	Non-protein coding RNA	R U6 Small Nuclear 248, Pseudogene
RNU6-249P	q12	Plus	chr12	42398550	42398651	Non-protein coding RNA	R U6 Small Nuclear 249, Pseudogene
RNU6-24P	q25.1	Plus	chr17	76337316	76337422	Non-protein coding RNA	R U6 Small Nuclear 24, Pseudogene
RNU6-250P	p21.2	Plus	chr6	40407853	40407955	Non-protein coding RNA	R U6 Small Nuclear 250, Pseudogene
RNU6-251P	p12.3	Minus	chr12	15671707	15671810	Non-protein coding RNA	R U6 Small Nuclear 251, Pseudogene
RNU6-252P	q11.2	Minus	chr14	21113639	21113745	Non-protein coding RNA	R U6 Small Nuclear 252, Pseudogene
RNU6-253P	q22.1	Minus	chr6	117457734	117457838	Non-protein coding RNA	R U6 Small Nuclear 253, Pseudogene
RNU6-254P	p12.3	Minus	chr12	19445949	19446055	Non-protein coding RNA	R U6 Small Nuclear 254, Pseudogene
RNU6-255P	q11.222	Minus	chrY	19018983	19019087	Non-protein coding RNA	R U6 Small Nuclear 255, Pseudogene
RNU6-256P	q24.1	Plus	chr11	122004355	122004451	Non-protein coding RNA	R U6 Small Nuclear 256, Pseudogene
RNU6-257P	q12.1	Minus	chr16	48731704	48731801	Non-protein coding RNA	R U6 Small Nuclear 257, Pseudogene
RNU6-258P	p11.2	Minus	chr17	20126388	20126488	Non-protein coding RNA	R U6 Small Nuclear 258, Pseudogene
RNU6-259P	q14.3	Plus	chr2	124989219	124989325	Non-protein coding RNA	R U6 Small Nuclear 259, Pseudogene
RNU6-25P	q29	Plus	chr3	195214787	195214893	Non-protein coding RNA	R U6 Small Nuclear 25, Pseudogene
RNU6-260P	q33.3	Plus	chr5	157809098	157809204	Non-protein coding RNA	R U6 Small Nuclear 260, Pseudogene
RNU6-261P	q14.1	Minus	chr6	76446988	76447089	Non-protein coding RNA	R U6 Small Nuclear 261, Pseudogene
RNU6-262P	q23.3	Minus	chr11	119289562	119289677	Non-protein coding RNA	R U6 Small Nuclear 262, Pseudogene
RNU6-263P	p22.3	Minus	chr6	18306973	18307079	Non-protein coding RNA	R U6 Small Nuclear 263, Pseudogene
RNU6-264P	p22.1	Plus	chr9	19073843	19073946	Non-protein coding RNA	R U6 Small Nuclear 264, Pseudogene
RNU6-266P	p22.11	Plus	chrX	22527835	22527941	Non-protein coding RNA	R U6 Small Nuclear 266, Pseudogene
RNU6-267P	q35	Minus	chr7	143679585	143679687	Non-protein coding RNA	R U6 Small Nuclear 267, Pseudogene
RNU6-268P	q37.1	Plus	chr2	230752141	230752247	Non-protein coding RNA	R U6 Small Nuclear 268, Pseudogene
RNU6-269P	q21	Minus	chr16	58378052	58378148	Non-protein coding RNA	R U6 Small Nuclear 269, Pseudogene
RNU6-26P	q12.1	Minus	chr3	98804978	98805084	Non-protein coding RNA	R U6 Small Nuclear 26, Pseudogene
RNU6-270P	p12.1	Minus	chr10	28760699	28760803	Non-protein coding RNA	R U6 Small Nuclear 270, Pseudogene
RNU6-271P	q24.1	Plus	chr10	96112747	96112851	Non-protein coding RNA	R U6 Small Nuclear 271, Pseudogene
RNU6-272P	q11.2	Minus	chr5	53912020	53912123	Non-protein coding RNA	R U6 Small Nuclear 272, Pseudogene
RNU6-273P	q13.3	Plus	chr14	37187219	37187314	Non-protein coding RNA	R U6 Small Nuclear 273, Pseudogene
RNU6-274P	q21.13	Minus	chr7	89754620	89754726	Non-protein coding RNA	R U6 Small Nuclear 274, Pseudogene
RNU6-275P	p13.31	Plus	chr12	8484746	8484852	Non-protein coding RNA	R U6 Small Nuclear 275, Pseudogene
RNU6-276P	q12	Plus	chr4	55798636	55798731	Non-protein coding RNA	R U6 Small Nuclear 276, Pseudogene
RNU6-277P	q22.3	Minus	chr11	105974826	105974931	Non-protein coding RNA	R U6 Small Nuclear 277, Pseudogene
RNU6-278P	p12.1	Minus	chr20	13973316	13973424	Non-protein coding RNA	R U6 Small Nuclear 278, Pseudogene
RNU6-279P	q14.1	Minus	chr12	59369051	59369151	Non-protein coding RNA	R U6 Small Nuclear 279, Pseudogene
RNU6-27P	p12.1	Plus	chr20	17187510	17187616	Non-protein coding RNA	R U6 Small Nuclear 27, Pseudogene
RNU6-280P	q12	Plus	chr6	67546651	67546754	Non-protein coding RNA	R U6 Small Nuclear 280, Pseudogene
RNU6-281P	p13	Plus	chr3	70808350	70808452	Non-protein coding RNA	R U6 Small Nuclear 281, Pseudogene
RNU6-282P	p16.3	Minus	chr2	48501922	48502024	Non-protein coding RNA	R U6 Small Nuclear 282, Pseudogene
RNU6-283P	p21.33	Plus	chr6	31370134	31370240	Non-protein coding RNA	R U6 Small Nuclear 283, Pseudogene
RNU6-284P	q32.3	Plus	chr4	164620732	164620837	Non-protein coding RNA	R U6 Small Nuclear 284, Pseudogene
RNU6-285P	q21.11	Minus	chr8	73018945	73019044	Non-protein coding RNA	R U6 Small Nuclear 285, Pseudogene
RNU6-286P	q11.2	Plus	chr21	13621577	13621683	Non-protein coding RNA	R U6 Small Nuclear 286, Pseudogene
RNU6-287P	q21.31	Minus	chr17	42891338	42891435	Non-protein coding RNA	R U6 Small Nuclear 287, Pseudogene
RNU6-288P	q23.3	Minus	chr17	63573242	63573345	Non-protein coding RNA	R U6 Small Nuclear 288, Pseudogene
RNU6-289P	q25	Plus	chr4	111331412	111331518	Non-protein coding RNA	R U6 Small Nuclear 289, Pseudogene
RNU6-28P	q12.2	Minus	chr22	31479383	31479489	Non-protein coding RNA	R U6 Small Nuclear 28, Pseudogene
RNU6-290P	q23.2	Minus	chr5	126553302	126553402	Non-protein coding RNA	R U6 Small Nuclear 290, Pseudogene
RNU6-291P	p36.22	Plus	chr1	11226254	11226360	Non-protein coding RNA	R U6 Small Nuclear 291, Pseudogene
RNU6-293P	q25.3	Minus	chr6	158926466	158926571	Non-protein coding RNA	R U6 Small Nuclear 293, Pseudogene
RNU6-294P	q12.3	Plus	chr5	64573569	64573670	Non-protein coding RNA	R U6 Small Nuclear 294, Pseudogene
RNU6-295P	q11.21	Minus	chr8	48307927	48308030	Non-protein coding RNA	R U6 Small Nuclear 295, Pseudogene
RNU6-296P	q31.32	Minus	chr7	123457988	123458094	Non-protein coding RNA	R U6 Small Nuclear 296, Pseudogene
RNU6-297P	q21.3	Minus	chr14	48341226	48341332	Non-protein coding RNA	R U6 Small Nuclear 297, Pseudogene
RNU6-298P	q11.2	Plus	chr17	30861843	30861938	Non-protein coding RNA	R U6 Small Nuclear 298, Pseudogene
RNU6-299P	q11.2	Plus	chr5	56125671	56125770	Non-protein coding RNA	R U6 Small Nuclear 299, Pseudogene
RNU6-29P	p11.23	Minus	chrX	48776965	48777071	Non-protein coding RNA	R U6 Small Nuclear 29, Pseudogene
RNU6-300P	q25.1	Plus	chr6	151201341	151201444	Non-protein coding RNA	R U6 Small Nuclear 300, Pseudogene
RNU6-301P	q22.1	Plus	chr14	51724103	51724209	Non-protein coding RNA	R U6 Small Nuclear 301, Pseudogene
RNU6-302P	q25.1	Plus	chr6	150939222	150939328	Non-protein coding RNA	R U6 Small Nuclear 302, Pseudogene
RNU6-303P	p11.2	Minus	chrY	4174985	4175090	Non-protein coding RNA	R U6 Small Nuclear 303, Pseudogene
RNU6-304P	p36.23	Minus	chr1	8883427	8883533	Non-protein coding RNA	R U6 Small Nuclear 304, Pseudogene
RNU6-306P	p12.31	Minus	chr10	21564471	21564577	Non-protein coding RNA	R U6 Small Nuclear 306, Pseudogene
RNU6-307P	q25.1	Plus	chr1	174996524	174996629	Non-protein coding RNA	R U6 Small Nuclear 307, Pseudogene
RNU6-308P	q15	Plus	chr5	95521369	95521475	Non-protein coding RNA	R U6 Small Nuclear 308, Pseudogene
RNU6-309P	q22.3	Plus	chrX	108826764	108826869	Non-protein coding RNA	R U6 Small Nuclear 309, Pseudogene
RNU6-30P	q22.1	Minus	chrX	101634006	101634112	Non-protein coding RNA	R U6 Small Nuclear 30, Pseudogene
RNU6-310P	q12	Minus	chr4	53265461	53265567	Non-protein coding RNA	R U6 Small Nuclear 310, Pseudogene
RNU6-311P	q14.1	Minus	chr11	78579255	78579356	Non-protein coding RNA	R U6 Small Nuclear 311, Pseudogene
RNU6-312P	q33.1	Minus	chr2	200881715	200881821	Non-protein coding RNA	R U6 Small Nuclear 312, Pseudogene
RNU6-313P	q11.21	Plus	chr7	66344303	66344414	Non-protein coding RNA	R U6 Small Nuclear 313, Pseudogene
RNU6-314P	p12	Plus	chr17	16098704	16098807	Non-protein coding RNA	R U6 Small Nuclear 314, Pseudogene
RNU6-315P	q26.2	Plus	chr3	170149845	170149951	Non-protein coding RNA	R U6 Small Nuclear 315, Pseudogene
RNU6-316P	p11.21	Plus	chr18	14190700	14190806	Non-protein coding RNA	R U6 Small Nuclear 316, Pseudogene
RNU6-317P	q13.33	Minus	chr19	48793152	48793258	Non-protein coding RNA	R U6 Small Nuclear 317, Pseudogene
RNU6-318P	p13.2	Minus	chr12	12289227	12289329	Non-protein coding RNA	R U6 Small Nuclear 318, Pseudogene
RNU6-319P	p22.3	Minus	chr9	15431899	15432006	Non-protein coding RNA	R U6 Small Nuclear 319, Pseudogene
RNU6-31P	q33.1	Plus	chr2	200830009	200830116	Non-protein coding RNA	R U6 Small Nuclear 31, Pseudogene
RNU6-320P	q26.3	Plus	chrX	136583240	136583345	Non-protein coding RNA	R U6 Small Nuclear 320, Pseudogene
RNU6-321P	q24.2	Plus	chr11	125277552	125277657	Non-protein coding RNA	R U6 Small Nuclear 321, Pseudogene
RNU6-322P	q26.3	Minus	chr15	100551820	100551922	Non-protein coding RNA	R U6 Small Nuclear 322, Pseudogene
RNU6-323P	p11.23	Minus	chr8	38166012	38166118	Non-protein coding RNA	R U6 Small Nuclear 323, Pseudogene
RNU6-324P	p11.21	Plus	chr18	12098427	12098532	Non-protein coding RNA	R U6 Small Nuclear 324, Pseudogene
RNU6-325P	q23.1	Plus	chr10	85537379	85537483	Non-protein coding RNA	R U6 Small Nuclear 325, Pseudogene
RNU6-326P	p12.3	Plus	chr7	45843634	45843740	Non-protein coding RNA	R U6 Small Nuclear 326, Pseudogene
RNU6-327P	q24.33	Minus	chr12	132835374	132835500	Non-protein coding RNA	R U6 Small Nuclear 327, Pseudogene
RNU6-328P	p13.3	Minus	chr16	7004007	7004112	Non-protein coding RNA	R U6 Small Nuclear 328, Pseudogene
RNU6-329P	q31.1	Plus	chr9	102256604	102256710	Non-protein coding RNA	R U6 Small Nuclear 329, Pseudogene
RNU6-32P	p14	Minus	chr4	39297605	39297711	Non-protein coding RNA	R U6 Small Nuclear 32, Pseudogene
RNU6-330P	q13.2	Plus	chrX	74680053	74680159	Non-protein coding RNA	R U6 Small Nuclear 330, Pseudogene
RNU6-331P	q12.2	Minus	chr22	29899587	29899693	Non-protein coding RNA	R U6 Small Nuclear 331, Pseudogene
RNU6-332P	q21.32	Minus	chrX	94003815	94003922	Non-protein coding RNA	R U6 Small Nuclear 332, Pseudogene
RNU6-333P	q13.13	Minus	chr12	53138545	53138651	Non-protein coding RNA	R U6 Small Nuclear 333, Pseudogene
RNU6-334P	q21.2	Minus	chr5	104780288	104780389	Non-protein coding RNA	R U6 Small Nuclear 334, Pseudogene
RNU6-335P	q35.1	Minus	chr4	183675603	183675715	Non-protein coding RNA	R U6 Small Nuclear 335, Pseudogene
RNU6-336P	p21.3	Plus	chr8	22434391	22434497	Non-protein coding RNA	R U6 Small Nuclear 336, Pseudogene
RNU6-337P	q21.11	Plus	chr7	79030240	79030345	Non-protein coding RNA	R U6 Small Nuclear 337, Pseudogene
RNU6-338P	q12.2	Minus	chr22	31388733	31388837	Non-protein coding RNA	R U6 Small Nuclear 338, Pseudogene
RNU6-339P	q25.3	Minus	chr15	84938416	84938522	Non-protein coding RNA	R U6 Small Nuclear 339, Pseudogene
RNU6-33P	q22.1	Minus	chr4	88684848	88684954	Non-protein coding RNA	R U6 Small Nuclear 33, Pseudogene
RNU6-340P	p11.32	Minus	chr18	2649761	2649867	Non-protein coding RNA	R U6 Small Nuclear 340, Pseudogene
RNU6-341P	q23.1	Minus	chr14	58292293	58292388	Non-protein coding RNA	R U6 Small Nuclear 341, Pseudogene
RNU6-342P	p24.1	Minus	chr3	27265580	27265683	Non-protein coding RNA	R U6 Small Nuclear 342, Pseudogene
RNU6-343P	q13.3	Plus	chr12	56588518	56588621	Non-protein coding RNA	R U6 Small Nuclear 343, Pseudogene
RNU6-344P	q21	Plus	chr6	106304176	106304286	Non-protein coding RNA	R U6 Small Nuclear 344, Pseudogene
RNU6-345P	q22.1	Plus	chrX	101915589	101915695	Non-protein coding RNA	R U6 Small Nuclear 345, Pseudogene
RNU6-346P	q23	Minus	chr18	76800664	76800774	Non-protein coding RNA	R U6 Small Nuclear 346, Pseudogene
RNU6-347P	q13.2	Plus	chr20	51902291	51902395	Non-protein coding RNA	R U6 Small Nuclear 347, Pseudogene
RNU6-348P	q26.31	Minus	chr3	171504245	171504351	Non-protein coding RNA	R U6 Small Nuclear 348, Pseudogene
RNU6-349P	p11.31	Plus	chr18	6454962	6455068	Non-protein coding RNA	R U6 Small Nuclear 349, Pseudogene
RNU6-34P	q22.3	Minus	chr4	96152297	96152403	Non-protein coding RNA	R U6 Small Nuclear 34, Pseudogene
RNU6-351P	q24	Plus	chr4	104974672	104974771	Non-protein coding RNA	R U6 Small Nuclear 351, Pseudogene
RNU6-352P	p21.1	Plus	chr1	101859851	101859957	Non-protein coding RNA	R U6 Small Nuclear 352, Pseudogene
RNU6-353P	q15.3	Plus	chr15	43702363	43702470	Non-protein coding RNA	R U6 Small Nuclear 353, Pseudogene
RNU6-354P	q15.3	Minus	chr15	43734179	43734285	Non-protein coding RNA	R U6 Small Nuclear 354, Pseudogene
RNU6-355P	q24.3	Plus	chr16	90144592	90144695	Non-protein coding RNA	R U6 Small Nuclear 355, Pseudogene
RNU6-356P	p11.21	Plus	chr8	41032892	41032998	Non-protein coding RNA	R U6 Small Nuclear 356, Pseudogene
RNU6-358P	p13.3	Minus	chr5	31820564	31820638	Non-protein coding RNA	R U6 Small Nuclear 358, Pseudogene
RNU6-359P	q22.1	Minus	chr16	68017710	68017817	Non-protein coding RNA	R U6 Small Nuclear 359, Pseudogene
RNU6-35P	q25	Plus	chr4	109992325	109992431	Non-protein coding RNA	R U6 Small Nuclear 35, Pseudogene
RNU6-360P	q33.3	Minus	chr2	208019638	208019741	Non-protein coding RNA	R U6 Small Nuclear 360, Pseudogene
RNU6-361P	q24.11	Minus	chr12	108926435	108926541	Non-protein coding RNA	R U6 Small Nuclear 361, Pseudogene
RNU6-362P	q25.1	Plus	chr17	75031097	75031186	Non-protein coding RNA	R U6 Small Nuclear 362, Pseudogene
RNU6-363P	p13.3	Minus	chr5	31595565	31595669	Non-protein coding RNA	R U6 Small Nuclear 363, Pseudogene
RNU6-364P	q21.3	Plus	chr7	96341140	96341246	Non-protein coding RNA	R U6 Small Nuclear 364, Pseudogene
RNU6-365P	p12	Minus	chr11	41122907	41123012	Non-protein coding RNA	R U6 Small Nuclear 365, Pseudogene
RNU6-366P	q32.12	Plus	chr14	92265702	92265807	Non-protein coding RNA	R U6 Small Nuclear 366, Pseudogene
RNU6-367P	p21.33	Plus	chr3	44071087	44071186	Non-protein coding RNA	R U6 Small Nuclear 367, Pseudogene
RNU6-368P	q21.11	Plus	chr9	67869947	67870053	Non-protein coding RNA	R U6 Small Nuclear 368, Pseudogene
RNU6-369P	p34.1	Plus	chr1	44390722	44390823	Non-protein coding RNA	R U6 Small Nuclear 369, Pseudogene
RNU6-36P	q23.1	Plus	chr12	97721716	97721822	Non-protein coding RNA	R U6 Small Nuclear 36, Pseudogene
RNU6-370P	p23.3	Plus	chr2	24045835	24045938	Non-protein coding RNA	R U6 Small Nuclear 370, Pseudogene
RNU6-371P	p31.3	Minus	chr1	62298149	62298256	Non-protein coding RNA	R U6 Small Nuclear 371, Pseudogene
RNU6-373P	q23.1	Plus	chr5	119007571	119007668	Non-protein coding RNA	R U6 Small Nuclear 373, Pseudogene
RNU6-374P	p14.1	Minus	chr5	25701217	25701324	Non-protein coding RNA	R U6 Small Nuclear 374, Pseudogene
RNU6-375P	q13.2	Plus	chr22	41168217	41168316	Non-protein coding RNA	R U6 Small Nuclear 375, Pseudogene
RNU6-376P	q23.3	Plus	chr11	118702342	118702447	Non-protein coding RNA	R U6 Small Nuclear 376, Pseudogene
RNU6-377P	p25.2	Plus	chr3	12514706	12514807	Non-protein coding RNA	R U6 Small Nuclear 377, Pseudogene
RNU6-378P	p13.3	Plus	chr5	32309662	32309768	Non-protein coding RNA	R U6 Small Nuclear 378, Pseudogene
RNU6-379P	q13.2	Plus	chr22	40917743	40917846	Non-protein coding RNA	R U6 Small Nuclear 379, Pseudogene
RNU6-37P	p36.22	Plus	chr1	10298966	10299072	Non-protein coding RNA	R U6 Small Nuclear 37, Pseudogene
RNU6-380P	q25.1	Plus	chr15	80663772	80663878	Non-protein coding RNA	R U6 Small Nuclear 380, Pseudogene
RNU6-381P	p12	Minus	chr5	44066624	44066731	Non-protein coding RNA	R U6 Small Nuclear 381, Pseudogene
RNU6-382P	q27.3	Plus	chrX	147827279	147827384	Non-protein coding RNA	R U6 Small Nuclear 382, Pseudogene
RNU6-383P	q28	Minus	chrX	150955494	150955587	Non-protein coding RNA	R U6 Small Nuclear 383, Pseudogene
RNU6-384P	q11.21	Plus	chr20	31581089	31581192	Non-protein coding RNA	R U6 Small Nuclear 384, Pseudogene
RNU6-386P	p12.3	Plus	chr3	77092057	77092163	Non-protein coding RNA	R U6 Small Nuclear 386, Pseudogene
RNU6-387P	p31.3	Plus	chr1	67417214	67417318	Non-protein coding RNA	R U6 Small Nuclear 387, Pseudogene
RNU6-388P	p14.3	Minus	chr7	33001950	33002054	Non-protein coding RNA	R U6 Small Nuclear 388, Pseudogene
RNU6-389P	p11.2	Plus	chr7	55685977	55686081	Non-protein coding RNA	R U6 Small Nuclear 389, Pseudogene
RNU6-38P	q22.2	Plus	chr13	75109587	75109693	Non-protein coding RNA	R U6 Small Nuclear 38, Pseudogene
RNU6-390P	q33.3	Plus	chr5	157579497	157579599	Non-protein coding RNA	R U6 Small Nuclear 390, Pseudogene
RNU6-391P	p22.3	Plus	chr6	24365651	24365754	Non-protein coding RNA	R U6 Small Nuclear 391, Pseudogene
RNU6-392P	q22.3	Plus	chr7	106208167	106208267	Non-protein coding RNA	R U6 Small Nuclear 392, Pseudogene
RNU6-393P	q22.1	Minus	chr7	98794718	98794824	Non-protein coding RNA	R U6 Small Nuclear 393, Pseudogene
RNU6-394P	q12	Minus	chrX	66676258	66676364	Non-protein coding RNA	R U6 Small Nuclear 394, Pseudogene
RNU6-395P	q14.3	Plus	chr2	127845236	127845341	Non-protein coding RNA	R U6 Small Nuclear 395, Pseudogene
RNU6-396P	q22.3	Plus	chr21	46525618	46525722	Non-protein coding RNA	R U6 Small Nuclear 396, Pseudogene
RNU6-397P	p22	Minus	chr8	14487776	14487879	Non-protein coding RNA	R U6 Small Nuclear 397, Pseudogene
RNU6-398P	q23.1	Plus	chr14	60974327	60974435	Non-protein coding RNA	R U6 Small Nuclear 398, Pseudogene
RNU6-399P	q14.1	Minus	chr12	62545582	62545679	Non-protein coding RNA	R U6 Small Nuclear 399, Pseudogene
RNU6-39P	q22.1	Plus	chr18	68858934	68859040	Non-protein coding RNA	R U6 Small Nuclear 39, Pseudogene
RNU6-3P	q27.1	Minus	chrX	141118030	141118136	Non-protein coding RNA	R U6 Small Nuclear 3, Pseudogene
RNU6-400P	p11.1	Plus	chr12	33576095	33576200	Non-protein coding RNA	R U6 Small Nuclear 400, Pseudogene
RNU6-401P	q25.2	Plus	chr15	83717427	83717522	Non-protein coding RNA	R U6 Small Nuclear 401, Pseudogene
RNU6-402P	q15	Plus	chr5	98889731	98889833	Non-protein coding RNA	R U6 Small Nuclear 402, Pseudogene
RNU6-403P	q41	Minus	chr1	221837334	221837437	Non-protein coding RNA	R U6 Small Nuclear 403, Pseudogene
RNU6-405P	p11.2	Plus	chr17	16691798	16691907	Non-protein coding RNA	R U6 Small Nuclear 405, Pseudogene
RNU6-406P	q21.31	Plus	chr17	43445507	43445613	Non-protein coding RNA	R U6 Small Nuclear 406, Pseudogene
RNU6-407P	q11.22	Minus	chr20	35030317	35030420	Non-protein coding RNA	R U6 Small Nuclear 407, Pseudogene
RNU6-408P	q12.1	Plus	chr18	29048620	29048719	Non-protein coding RNA	R U6 Small Nuclear 408, Pseudogene
RNU6-409P	q13.33	Minus	chr22	50691077	50691180	Non-protein coding RNA	R U6 Small Nuclear 409, Pseudogene
RNU6-40P	p35.2	Minus	chr1	31497577	31497683	Non-protein coding RNA	R U6 Small Nuclear 40, Pseudogene
RNU6-410P	q12	Minus	chr4	55031965	55032071	Non-protein coding RNA	R U6 Small Nuclear 410, Pseudogene
RNU6-411P	q13	Plus	chr6	71182612	71182718	Non-protein coding RNA	R U6 Small Nuclear 411, Pseudogene
RNU6-412P	p12	Minus	chr4	46531237	46531342	Non-protein coding RNA	R U6 Small Nuclear 412, Pseudogene
RNU6-413P	p12.2	Plus	chr10	22787393	22787499	Non-protein coding RNA	R U6 Small Nuclear 413, Pseudogene
RNU6-414P	p31.3	Plus	chr1	61816419	61816522	Non-protein coding RNA	R U6 Small Nuclear 414, Pseudogene
RNU6-415P	q25.1	Minus	chr15	78898840	78898936	Non-protein coding RNA	R U6 Small Nuclear 415, Pseudogene
RNU6-416P	p11.2	Minus	chr16	30675300	30675402	Non-protein coding RNA	R U6 Small Nuclear 416, Pseudogene
RNU6-417P	q11.21	Minus	chr7	63011463	63011569	Non-protein coding RNA	R U6 Small Nuclear 417, Pseudogene
RNU6-418P	q32.1	Plus	chr1	205595041	205595147	Non-protein coding RNA	R U6 Small Nuclear 418, Pseudogene
RNU6-419P	q24.2	Minus	chr14	73246818	73246880	Non-protein coding RNA	R U6 Small Nuclear 419, Pseudogene
RNU6-41P	q25.3	Minus	chr1	182982212	182982318	Non-protein coding RNA	R U6 Small Nuclear 41, Pseudogene
RNU6-420P	p15.2	Plus	chr4	22118983	22119089	Non-protein coding RNA	R U6 Small Nuclear 420, Pseudogene
RNU6-421P	p11.23	Minus	chrX	49945336	49945442	Non-protein coding RNA	R U6 Small Nuclear 421, Pseudogene
RNU6-422P	q24.31	Plus	chr10	100258571	100258677	Non-protein coding RNA	R U6 Small Nuclear 422, Pseudogene
RNU6-424P	p35.3	Plus	chr1	27693731	27693835	Non-protein coding RNA	R U6 Small Nuclear 424, Pseudogene
RNU6-425P	q23	Plus	chr3	142145454	142145555	Non-protein coding RNA	R U6 Small Nuclear 425, Pseudogene
RNU6-426P	q21.1	Minus	chr21	16035413	16035509	Non-protein coding RNA	R U6 Small Nuclear 426, Pseudogene
RNU6-428P	q24	Plus	chr3	146571477	146571583	Non-protein coding RNA	R U6 Small Nuclear 428, Pseudogene
RNU6-429P	p15.2	Plus	chr5	11027200	11027307	Non-protein coding RNA	R U6 Small Nuclear 429, Pseudogene
RNU6-42P	q29	Minus	chr3	196784980	196785086	Non-protein coding RNA	R U6 Small Nuclear 42, Pseudogene
RNU6-430P	q24.3	Plus	chr16	89443318	89443424	Non-protein coding RNA	R U6 Small Nuclear 430, Pseudogene
RNU6-431P	q25	Plus	chr4	108652150	108652256	Non-protein coding RNA	R U6 Small Nuclear 431, Pseudogene
RNU6-432P	q31.3	Plus	chr9	110903337	110903445	Non-protein coding RNA	R U6 Small Nuclear 432, Pseudogene
RNU6-433P	p16.1	Minus	chr2	55014418	55014521	Non-protein coding RNA	R U6 Small Nuclear 433, Pseudogene
RNU6-434P	p11.22	Plus	chrX	54343546	54343652	Non-protein coding RNA	R U6 Small Nuclear 434, Pseudogene
RNU6-435P	q11.2	Plus	chr18	24218300	24218404	Non-protein coding RNA	R U6 Small Nuclear 435, Pseudogene
RNU6-436P	q24.1	Plus	chr2	157912772	157912885	Non-protein coding RNA	R U6 Small Nuclear 436, Pseudogene
RNU6-437P	q21	Plus	chr6	107930088	107930182	Non-protein coding RNA	R U6 Small Nuclear 437, Pseudogene
RNU6-438P	p14.3	Minus	chr7	34297496	34297598	Non-protein coding RNA	R U6 Small Nuclear 438, Pseudogene
RNU6-439P	p16.3	Minus	chr2	49233794	49233899	Non-protein coding RNA	R U6 Small Nuclear 439, Pseudogene
RNU6-43P	q24.32	Plus	chr10	102591524	102591630	Non-protein coding RNA	R U6 Small Nuclear 43, Pseudogene
RNU6-440P	q33.1	Plus	chr2	201927439	201927543	Non-protein coding RNA	R U6 Small Nuclear 440, Pseudogene
RNU6-441P	q23.1	Plus	chr10	82340771	82340876	Non-protein coding RNA	R U6 Small Nuclear 441, Pseudogene
RNU6-442P	q24.13	Plus	chr8	125900951	125901054	Non-protein coding RNA	R U6 Small Nuclear 442, Pseudogene
RNU6-443P	Unknown	Minus	chr1	13249365	13249471	Non-protein coding RNA	R U6 Small Nuclear 443, Pseudogene
